Title,Artist,Album 
You Belong With Me,Taylor Swift,Fearless
Fearless,Taylor Swift,Fearless
Forever & Always,Taylor Swift,Fearless
Style,Taylor Swift,1989 (Deluxe Edition)
We Are Never Ever Getting Back Together,Taylor Swift,Red (Deluxe Edition)
Picture To Burn,Taylor Swift,Taylor Swift
Haunted,Taylor Swift,Speak Now (Deluxe Edition)
Enchanted,Taylor Swift,Speak Now (Deluxe Package)
99 Years (with Jennifer Nettles),Josh Groban;Jennifer Nettles,Bridges (Deluxe)
Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae
More Than You Know,Anita Baker,Compositions
betty,Taylor Swift,folklore
Back To December,Taylor Swift,Speak Now
Like A Star,Corinne Bailey Rae,Corinne Bailey Rae
Call Me When You Get This,Corinne Bailey Rae,Corinne Bailey Rae
Colors,Amos Lee,Amos Lee
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift;Brendon Urie;Panic! At The Disco,Lover
Easy On Me,Adele,Easy On Me
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,Armageddon - The Album
Grown Ups,Sondia,"My Mister (Original Television Soundtrack), Pt. 2"
Treat You Better,Shawn Mendes,Illuminate (Deluxe)
Our Time Together,Lily Rae,Our Time Together
Numb Little Bug - Piano Version,Em Beihold,falling out of love
When You Say Nothing At All,Ronan Keating,Ronan
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN;Conor Maynard;Sam Feldt,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit]
The man,HYUN BIN,SECRET GARDEN DRAMA OST Part.5
If I Can't Have You,Shawn Mendes,Shawn Mendes (Deluxe)
Everything Has Changed,Taylor Swift;Ed Sheeran,Red (Big Machine Radio Release Special)
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox
When I Was Your Man,Bruno Mars,Unorthodox Jukebox
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans
Bad Liar,Imagine Dragons,Origins (Deluxe)
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,Mercury - Acts 1 & 2
Whatever It Takes,Imagine Dragons,Evolve
Radioactive,Imagine Dragons,Night Visions
Thunder,Imagine Dragons,Evolve
Bones,Imagine Dragons,Mercury - Acts 1 & 2
Demons,Imagine Dragons,Night Visions
Believer,Imagine Dragons,Evolve
Ikiruijintachiyo,Tani Yuuki,Tamentai
Sunday Morning,Maroon 5,Songs About Jane: 10th Anniversary Edition
"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises"
Everytime We Touch,Cascada,Platinum
Yeah! (feat. Lil Jon & Ludacris),USHER;Lil Jon;Ludacris,Confessions (Expanded Edition)
Hall of Fame (feat. will.i.am),The Script;will.i.am,#3 Deluxe Version
Remember When,Alan Jackson,34 Number Ones
As Long as You Love Me,Backstreet Boys,Backstreet's Back
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe)
Just Give Me a Reason (feat. Nate Ruess),P!nk;Nate Ruess,The Truth About Love
Unstoppable,Sia,This Is Acting
Test Drive - From How To Train Your Dragon Music From The Motion Picture,John Powell,How To Train Your Dragon (Music From The Motion Picture)
Gitchee Gitchee Goo,Phineas and the Ferbtones,Disney Summer Songs
DJ Got Us Fallin' In Love (feat. Pitbull),USHER;Pitbull,Raymond v Raymond (Expanded Edition)
