Title,Artist,Album,TrackURI
POWER,G-DRAGON,Übermensch,spotify:track:0Q7PMMu2ZDQDF5VjlCOBfc
TOO BAD,G-DRAGON;Anderson .Paak,Übermensch,spotify:track:0GOqhXyouUxqPEw9ypTOLm
The Boys,Girls' Generation,MR. TAXI - THE 3RD ALBUM (Version B),spotify:track:4dpyxuUzmrezIsA6zn4bx3
Gee,Girls' Generation,Oh! - The Second Album,spotify:track:0t7kjpVLgOYITrSfFCoBEA
ENEMY,TWICE,ENEMY,spotify:track:4Cv1YTkESvHPWnQAtVNoBF
THIS IS FOR,TWICE,THIS IS FOR,spotify:track:3598iBWrS4JhJqP5tHlpVK
"사랑인가 봐 Love, Maybe",MeloMance,KPop Demon Hunters (Soundtrack from the Netflix Film),spotify:track:7KU3A1fotuV0GXY1doHFT8
"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,KPop Demon Hunters (Soundtrack from the Netflix Film),spotify:track:1rKQjUhF9zFJmuUotr3VkV
Permission to Dance,BTS,Permission to Dance,spotify:track:3XYRV7ZSHqIRDG87DKTtry
Never Ending Story,IU,"A flower bookmark, Pt. 3",spotify:track:3iJxBDym1SeqNqJqnvreHK
Red Sneakers,IU,"A flower bookmark, Pt. 3",spotify:track:7bsNhzXyqkgr64SibwXbGD
Lose My Breath (Feat. Charlie Puth),Stray Kids;Charlie Puth,Lose My Breath (Feat. Charlie Puth),spotify:track:2DXavoWAmIHlrECHPM1Vca
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,CHARLIE,spotify:track:5Odq8ohlgIbQKMZivbWkEo
Descendants Of The Sun (Original Television Soundtrack) Pt.6 - Talk Love,K.Will,Descendants Of The Sun (Original Television Soundtrack) Pt.6 - Talk Love,spotify:track:5NkpsRKvSBukdYQtl3WLZW
Nitpicking,IU,Nitpicking,spotify:track:1kODSVImpAKU1bbZvlNX2s
Haru Haru,BIGBANG,Stand Up,spotify:track:1L4d2lafz1odpIMe8va21X
MORE & MORE,TWICE,MORE & MORE,spotify:track:3omvXShuRPM3zbDpWYqf5g
사랑스러워,Kim Jong Kook,This is me,spotify:track:6XVp0q2S9ORgOeHBeaXlke
Ugly,2NE1,2NE1 2nd Mini Album,spotify:track:5FahFQNnmxqiWzJbDNmeIY
COME BACK HOME,2NE1,CRUSH,spotify:track:63J1RStsmoVKXNTCHRNxii
Lonely,2NE1,2NE1 2nd Mini Album,spotify:track:5BzfRtVjyC4wbISHdbCvWL
CROOKED,G-DRAGON,COUP D'ETAT,spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO
I Am the Best (내가 제일 잘 나가),2NE1,2NE1 2nd Mini Album,spotify:track:0duGEEnNcvRgkeoZVx6qFu
I Am The Best,2NE1,I Am The Best,spotify:track:26EM9sZnQkLLQxixGd88KE
I AM THE BEST,2NE1,WELCOME BACK,spotify:track:6aRr7IN6X7D7KbpWrafNtf
Fantastic Baby,BIGBANG,ALIVE,spotify:track:26eV0R7nbqtlzh316ncU99
POWER,G-DRAGON,POWER,spotify:track:4XsJiRJQAK8TWcZCn0Dxlh
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON;TAEYANG;DAESUNG,HOME SWEET HOME (feat. TAEYANG & DAESUNG),spotify:track:0Cu8JdYvV9DdmzLzhxaZLH
Say Yes,Loco;Punch,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",spotify:track:27zrFrtUtWl2urlvjOn5xc
Beautiful,Crush,"Guardian (Original Television Soundtrack), Pt. 4",spotify:track:6mzF8HvHdVrzJNd8M1uFCS
Stay With Me,CHANYEOL;Punch,"Guardian (Original Television Soundtrack), Pt. 1",spotify:track:1HYzRuWjmS9LXCkdVHi25K
Love You With All My Heart,Crush,"Queen of Tears (Original Television Soundtrack), Pt.4",spotify:track:0UaaFmF3xUwMjnuAHBq7qL
Next Stop,IU,Pieces,spotify:track:2qd4cLpENPf0gBia8WFi0m
Well… (ROCK VER.),IU,Growing Up,spotify:track:6zpiGeoHYRF5vtrboE3rAC
Bad Boy,Red Velvet,The Perfect Red Velvet - The 2nd Album Repackage,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc
러시안 룰렛 Russian Roulette,Red Velvet,Russian Roulette - The 3rd Mini Album,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT
Psycho,Red Velvet,‘The ReVe Festival’ Finale,spotify:track:3CYH422oy1cZNoo0GTG1TK
Cosmic,Red Velvet,Cosmic,spotify:track:4s2MSGZJE1NVmzWkxXB6Qa
EASY,LE SSERAFIM,EASY,spotify:track:2O4Bb2WCkjlTPO827OnBMI
Smart,LE SSERAFIM,Smart (Remixes),spotify:track:3lwK3WyKAI5bUuGY1OgGbZ
Blue Heart,IVE,IVE SWITCH,spotify:track:00wTgWOnpWPlTvFsAkZBme
SUMMER FESTA,IVE,SUMMER FESTA,spotify:track:4QYmuMAQ1iBzspZKCaMZuB
LOVE DIVE,IVE,LOVE DIVE,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi
STAY,BLACKPINK,SQUARE TWO,spotify:track:3tP6QKbXvtrxiDI7QwKyUf
BOOMBAYAH - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA (Japanese Version),spotify:track:5nIjOnMbC0QDMrYFLGx0yV
Kick It,BLACKPINK,Kill This Love,spotify:track:3VN74YiIjtY5ouKahBjmRX
Forever Young,BLACKPINK,SQUARE UP,spotify:track:2Pp9osgyIcw6o1avfDDDhH
You Never Know,BLACKPINK,THE ALBUM,spotify:track:00J8yszzb5PR6ZIvSBtg0Y
Don't Know What To Do,BLACKPINK,Kill This Love,spotify:track:4ghGrdxwqLA6ZoCiu0u4IR
BOOMBAYAH,BLACKPINK,SQUARE ONE,spotify:track:13MF2TYuyfITClL1R2ei6e
Ready For Love,BLACKPINK,BORN PINK,spotify:track:61tqrU7wp1EnoJ5ajtYXMl
Yeah Yeah Yeah,BLACKPINK,BORN PINK,spotify:track:3ABi5sVjvEp08IQEKh8BmG
As If It's Your Last,BLACKPINK,As If It's Your Last,spotify:track:4ZxOuNHhpyOj4gv52MtQpT
Shut Down,BLACKPINK,BORN PINK,spotify:track:6tCd8bPvYnceDG7W9M1RMk
그대라는 시,太妍,Hotel del Luna (Original Television Soundtrack) Pt.3,spotify:track:56Cmy1rCQ35V2Q7groYiHl
WANNABE,ITZY,IT'z ME,spotify:track:4pspYVQGFHLPEFgQPD1J7e
Boys Like You,ITZY,Boys Like You,spotify:track:34y2pV3RGFiCHSP12bNHVk
_WORLD,SEVENTEEN,SEVENTEEN 4th Album Repackage 'SECTOR 17',spotify:track:3QwiidVHfeE9y5jl4n2MTC
WA DA DA,Kep1er,FIRST IMPACT,spotify:track:4gdiCHNbwugojBqr5Jt3pq
Kitsch,IVE,I've IVE,spotify:track:7foeH2Emgq8A3LWk3q6dat
Talk that Talk,TWICE,BETWEEN 1&2,spotify:track:0RDqNCRBGrSegk16Avfzuq
