Title,Artist,Album,TrackURI
靠近一點點,梁心頤,惡作劇之吻,spotify:track:01cO3ZfjGwlY7nMDDr5tDZ
查某囡仔,李千娜,查某囡仔,spotify:track:6ZDoaVTXy9kl3Ir8MQ8Gnx
不能說的秘密,周杰倫,《不能說的秘密》電影原聲帶,spotify:track:1SiXT84WGxFVr8Mg50DEt7
兜圈,林宥嘉,必娶女人 (電視原聲帶),spotify:track:5CcqjfODDoSpI1xuTg9NCC
擁抱,五月天,五月天第一張創作專輯,spotify:track:4rDrmDk4hAsuAHOhnxLFkE
寵上天,五月天,為愛而生,spotify:track:5OsNFtdWXx9RgKMjLODPDB
人生海海,五月天,人生海海,spotify:track:7Ap7CgFFQagsOQfMCrCWWG
相信,五月天,人生海海,spotify:track:6ijZWMVN6Wnq17q0yTTmIP
雨眠,五月天,愛情萬歲,spotify:track:0OHFcsAAtCgTiZTRsFSsQo
亂世浮生,五月天,知足 just my pride 最真傑作選,spotify:track:2l2P3KMKtGJNF2xlZQfPl2
忘詞,五月天,為愛而生,spotify:track:36HpDQukhAwbBgcx26n87q
生存以上 生活以下,五月天,後 青春期的詩,spotify:track:70ZQ58tOagyry35lZnHh3I
彩虹,五月天,人生海海,spotify:track:2HhPqKSYYC0Nig9K14nhpc
愛情的模樣,五月天,五月天第一張創作專輯,spotify:track:3KONyxbmy3yLWEZBegFNCW
聽不到,五月天,知足 just my pride 最真傑作選,spotify:track:5Mh1uXyFKiqLmapC7kUUOR
志明與春嬌,五月天,五月天第一張創作專輯,spotify:track:1QYdanf1Ll0Xz6WjfLmyq8
後來的我們,五月天,自傳,spotify:track:13AruKdh8wJhWx6i5dV8X1
I LOVE YOU 無望,五月天,五月天第一張創作專輯,spotify:track:7vFNpXhWLuinIfH2usE9RI
愛情萬歲,五月天,愛情萬歲,spotify:track:5lN9QxpkWWAtbhEUHKs4nx
反而,五月天,愛情萬歲,spotify:track:3Xw9FlBK3mROAcWbIHJeSc
最重要的小事,五月天,為愛而生,spotify:track:5rpkL6fkk76ZqwSxTKpeXk
明白,五月天,愛情萬歲,spotify:track:2cXI85ZJ3AVVncKD6R41Ol
王子麵,五月天;孫燕姿,時光機,spotify:track:0fp11C9e0YGUjgJbBcEwfn
九號球,五月天,時光機,spotify:track:3KnzYsXY9kYxV50ejo4vxO
OK啦!,五月天,人生海海,spotify:track:7JiqT2e6heFqyTV10QLueR
一顆蘋果,五月天,人生海海,spotify:track:08VskSePoKxQAosihdzgzX
